class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-color,has-ring,ring-type,habitat,season
e,8.7,x,s,n,f,e,c,w,6.98,9.65,n,f,f,d,w
e,6.15,x,h,n,f,x,c,w,6.46,7.38,n,t,r,d,u
e,6.83,x,h,y,f,p,,y,6.45,13.9,y,t,,d,u
e,1.42,x,t,y,f,d,,w,5.02,1.61,y,f,f,d,a
e,6.75,f,t,n,f,s,,n,8.95,12.99,o,f,f,d,a
p,8.58,s,,y,t,d,,o,5.96,13.03,w,t,f,d,a
p,12.58,f,t,n,t,d,c,n,5.73,15.32,n,f,f,d,u
p,3.84,x,k,w,f,s,,p,4.44,3.14,n,f,f,g,u
e,6.66,f,d,b,f,d,d,o,6.15,12.39,w,f,f,g,a
p,3.24,x,s,y,f,,c,y,8.14,7.57,y,t,z,d,u
p,11.9,x,,n,f,e,,w,10.86,15.9,w,t,e,d,u
p,2.17,c,t,y,f,,,y,8.77,3.28,y,f,f,g,a
p,4.23,f,l,n,f,x,d,e,6.16,4.83,y,f,f,l,a
p,3.68,f,t,n,f,x,c,p,5.36,4.05,g,f,f,d,u
p,9.15,f,,w,f,x,c,w,10.36,11.99,w,f,f,d,u
e,8.54,p,y,n,t,e,,p,8.56,17.77,w,t,l,d,a
p,1.61,p,t,n,f,a,c,n,7.31,2.46,y,t,e,m,s
e,5.24,o,l,n,f,f,f,f,6.66,51.28,n,f,f,l,a
e,4.27,x,s,o,f,p,,n,6.27,11.81,e,f,f,d,u
e,9.34,f,d,w,f,s,c,w,6.79,31.97,w,f,f,m,u
e,6.91,f,s,y,f,a,d,w,8.02,14.73,n,t,,d,w
e,13.55,p,y,w,f,,,w,20.64,18.86,n,t,m,d,a
p,5.19,s,d,o,f,d,c,o,4.2,7.41,o,f,f,h,u
p,17.42,s,d,n,f,d,c,y,6.71,36.43,k,f,f,d,a
p,9.89,f,h,r,f,,c,w,10.94,14.82,w,t,g,d,u
p,5.47,b,y,n,f,,,k,9.42,12.53,w,t,z,d,a
p,0.94,b,t,n,f,,c,k,3.46,2.64,n,t,f,g,a
e,10.33,s,e,n,f,d,c,w,8.35,24.5,w,f,f,d,a
p,7.34,x,,g,t,x,,n,8.79,19.42,u,f,f,d,a
e,8.4,f,s,u,f,a,c,w,5.38,16.59,w,f,f,d,u
e,4.65,x,,l,f,d,,r,6.36,7.5,r,f,f,l,a
p,6.04,s,d,o,f,d,c,y,4.13,6.98,o,f,f,d,a
e,5.24,f,s,b,f,x,c,w,6.67,9.21,n,f,f,l,a
p,1.03,b,t,y,f,,c,g,3.54,2.51,n,t,f,g,a
e,1.72,x,s,y,f,d,,w,7.01,2.36,y,f,f,h,u
e,4.4,f,g,g,f,a,d,g,5.63,4.14,n,f,f,d,u
p,8.15,f,h,r,f,,c,w,10.42,10.87,w,t,p,d,u
p,3.08,f,t,y,f,a,,r,4.75,6.05,y,f,f,g,a
e,3.5,x,s,w,f,d,d,w,3.7,6.88,w,f,f,g,a
e,19.33,x,t,k,f,a,d,k,7.07,23.53,w,f,f,d,w
e,4.66,f,,w,f,x,c,n,6.19,3.36,w,f,f,d,a
e,3.5,x,k,n,f,p,,n,4.03,9.3,n,f,f,d,a
e,7.92,p,s,w,f,e,c,k,4.55,11.45,w,t,e,g,u
p,8.03,o,,n,f,f,f,f,3.34,24.53,n,f,f,d,u
p,2.94,s,w,o,t,d,c,n,3.76,5.93,n,f,f,d,a
p,15.17,s,k,w,t,d,d,n,7.16,28.26,w,f,f,d,u
p,6.68,s,t,r,t,d,,w,4.32,11.2,g,f,f,d,a
p,3.7,x,i,e,f,,,e,4.39,4.96,e,f,f,d,a
e,4.7,x,,w,f,x,c,n,8.21,8.6,n,t,,g,s
e,7.43,x,d,y,t,p,,y,7.11,15.02,y,f,f,d,u
p,4.94,x,s,n,t,s,d,w,4.18,11.56,w,f,f,d,a
e,13.13,f,,b,f,d,c,y,2.44,13.12,w,f,f,d,w
e,4.89,f,i,n,f,e,c,n,3.71,11.92,w,t,r,w,u
e,11.95,x,s,e,f,d,d,w,10.78,17.52,n,t,,d,a
p,11.29,f,g,o,f,e,,w,16.6,16.69,w,t,g,d,a
e,5.63,s,,n,f,d,c,w,3.73,6.83,w,f,f,l,a
e,4.82,x,s,n,f,p,,n,5.36,12.4,e,f,f,d,u
p,2.83,c,h,y,f,,,y,9.22,3.12,y,f,f,g,u
p,5.2,f,l,e,f,x,d,y,6.5,5.87,n,f,f,d,a
e,10.44,x,i,n,t,e,,p,9.07,17.71,w,t,p,l,a
e,5.93,s,s,b,f,d,d,o,5.14,12.38,w,f,f,g,a
p,3.05,b,t,n,f,,,k,9.59,4.84,w,t,,g,a
p,6.74,p,y,g,f,,,w,9.17,12.79,w,t,z,d,a
p,2.15,x,s,o,f,d,,y,2.54,5.03,y,f,f,h,a
e,7.72,x,t,y,f,p,,y,8.06,17.36,y,t,,d,u
e,14.01,f,e,n,f,d,c,w,9.06,24.38,w,f,f,l,w
e,4.67,x,t,o,f,a,d,w,7.06,5.88,n,f,f,d,w
e,9.12,f,e,b,f,,c,b,4.9,19.34,w,t,f,d,a
p,10.94,f,t,r,t,d,c,n,6.13,15.59,n,f,f,d,a
e,7.53,x,l,w,f,d,,w,3.44,8.61,w,f,f,d,a
p,1.13,b,t,y,f,,c,k,3.83,2.53,n,t,f,g,a
e,9.8,x,s,e,f,a,d,w,9.88,17.48,n,t,,d,w
p,7.43,x,y,w,t,,,w,9.18,14.65,w,t,l,g,u
p,4.16,x,,n,f,x,c,p,7.99,3.86,p,f,f,l,a
e,4.5,x,i,n,f,e,c,p,4.37,12.52,w,t,l,w,a
e,52.93,o,y,y,f,p,,y,7.02,41.43,k,f,f,d,s
p,6.05,c,i,y,f,,c,r,6.77,8.05,w,f,f,d,u
p,4.16,o,s,w,f,,c,w,0.0,0.0,f,f,f,d,a
e,8.7,x,h,n,t,p,,y,8.06,17.93,n,t,p,d,u
e,5.37,x,h,n,f,a,d,n,5.21,4.92,g,t,l,d,a
p,1.26,f,s,y,f,f,f,f,3.43,5.28,y,f,f,d,u
e,19.16,s,t,k,f,a,d,k,6.86,21.65,w,f,f,d,a
e,8.01,x,y,e,f,,,w,6.14,23.05,n,t,e,d,a
p,7.43,x,i,y,f,a,c,k,7.33,6.8,n,t,z,g,u
p,5.33,s,d,y,f,d,c,o,4.39,7.33,y,f,f,d,u
e,3.11,s,y,n,f,d,d,p,7.3,3.82,n,f,f,h,u
p,9.82,f,h,r,f,,c,w,11.52,15.99,w,t,p,d,a
p,3.03,o,,k,f,f,f,f,3.47,15.96,g,f,f,d,a
p,4.71,x,h,y,f,a,c,y,6.15,7.47,o,f,f,g,u
p,1.62,x,,n,f,,,k,4.85,2.47,n,f,f,g,u
p,16.95,x,k,w,t,d,d,n,5.99,30.31,w,f,f,d,u
p,7.01,b,t,w,f,e,c,w,11.59,12.17,w,t,l,d,u
p,15.62,x,d,o,f,p,,y,4.07,34.99,n,f,f,d,w
p,18.46,f,k,n,f,d,c,y,5.52,31.49,n,f,f,d,u
e,10.41,x,h,n,t,p,,n,6.83,16.68,n,t,p,d,a
e,18.69,x,d,o,f,p,,w,15.67,35.03,w,f,f,d,a
e,6.52,x,i,n,f,e,c,p,4.43,12.75,w,t,l,w,u
p,3.47,f,d,y,f,a,,r,5.62,6.79,y,f,f,d,a
p,1.63,x,k,n,f,,,n,3.59,1.43,n,f,f,d,u
p,13.0,x,,n,f,e,,w,10.83,14.03,w,t,e,d,a
p,4.6,f,k,y,f,p,,n,2.57,4.3,n,t,f,d,u
p,5.74,x,s,o,f,a,c,y,6.43,8.54,o,f,f,g,u
e,7.06,x,d,n,t,p,,y,6.94,15.68,y,f,f,d,a
e,2.53,x,h,n,f,,c,k,5.75,6.1,w,f,f,d,u
p,1.48,x,,n,f,,,n,4.83,2.63,n,f,f,g,a
p,0.78,x,g,o,f,,,y,3.44,0.76,w,f,f,d,a
p,6.54,s,d,o,f,d,c,y,4.13,7.11,o,f,f,h,u
p,2.33,x,s,o,f,d,,o,2.87,5.24,y,f,f,m,a
p,5.32,s,,e,t,d,c,w,5.3,4.81,e,f,f,d,a
e,6.03,b,h,k,f,s,d,w,5.4,10.55,g,f,f,d,u
p,3.82,o,t,w,f,,c,w,0.0,0.0,f,f,f,d,a
e,6.1,s,,y,f,a,c,w,4.51,14.49,w,f,f,d,w
e,14.81,f,s,n,t,e,,g,10.28,17.86,w,t,l,m,a
p,14.01,f,t,n,t,d,c,n,5.24,25.84,r,f,f,d,u
e,7.19,f,s,y,f,a,d,w,9.39,13.8,n,t,,d,u
p,5.38,s,,n,t,d,c,p,5.86,5.3,e,f,f,d,u
p,2.58,s,s,w,f,d,c,w,2.69,7.74,w,f,f,g,a
p,3.68,x,t,n,f,a,c,n,3.0,4.94,o,t,z,d,w
p,3.04,b,t,n,f,,,k,10.96,5.86,w,t,,g,w
e,10.22,p,y,n,t,e,,p,9.39,17.91,w,t,l,l,a
e,4.16,x,,n,f,x,c,w,8.24,10.09,w,t,,d,a
e,11.34,f,e,b,f,,c,b,4.67,21.75,w,t,f,d,a
p,2.85,f,w,p,f,a,,r,4.75,5.38,y,f,f,g,u
p,3.89,x,t,o,f,a,c,n,4.18,6.05,o,t,z,d,a
e,8.51,x,h,n,f,p,d,y,8.08,11.96,n,f,f,g,u
p,4.92,o,s,g,f,f,f,f,0.0,0.0,f,t,f,d,u
p,7.68,f,,r,f,x,c,n,6.9,13.14,w,f,f,d,u
p,4.81,x,,g,f,d,c,w,4.97,8.55,n,f,f,d,w
p,7.24,x,t,n,f,s,,g,5.7,7.64,n,f,f,d,w
e,2.75,x,,y,f,a,c,y,3.71,8.71,w,f,f,d,u
p,1.53,x,,n,f,,,k,4.53,2.34,n,f,f,g,u
e,5.75,x,,w,f,e,,w,5.83,11.98,w,t,g,d,u
p,4.65,s,k,y,f,p,,n,3.54,5.05,n,t,f,d,u
e,7.03,f,y,n,f,e,c,p,5.15,13.09,w,t,l,w,u
p,7.97,f,t,e,f,x,,w,14.3,8.37,n,f,f,d,u
p,8.68,x,,n,f,p,,w,8.03,26.62,n,f,f,d,a
p,3.92,x,t,n,f,a,c,n,4.86,6.51,n,t,z,d,a
e,6.31,x,h,y,t,x,c,y,7.54,15.23,w,f,f,d,u
e,3.97,f,d,n,t,d,c,p,5.63,7.65,n,f,f,d,a
p,1.27,f,s,y,f,f,f,f,3.95,5.97,y,f,f,d,a
e,3.08,x,,y,f,a,c,o,2.84,8.12,w,f,f,d,u
e,3.13,b,g,n,f,x,d,w,4.27,3.37,y,f,f,g,a
e,9.45,x,,n,t,,,w,10.22,20.17,w,t,g,d,u
p,3.21,x,,y,f,x,,w,5.22,6.56,w,f,f,d,a
p,3.13,o,l,g,f,f,f,f,0.0,0.0,f,f,f,d,s
p,2.35,c,h,n,f,,,y,7.75,2.92,y,f,f,g,a
e,11.25,x,s,n,f,a,d,w,7.6,15.81,n,t,,d,a
p,3.45,x,h,r,f,s,c,g,5.99,6.86,n,t,e,d,u
p,8.27,b,y,w,f,,,p,14.0,17.1,w,f,f,d,a
p,0.58,x,,o,f,d,,o,3.58,0.87,o,f,f,g,u
e,9.75,f,s,e,f,d,d,w,8.68,14.55,n,t,,d,u
p,5.64,x,,p,f,,c,w,3.41,12.02,y,f,f,d,a
p,7.98,s,d,e,t,d,c,n,8.48,9.63,e,f,f,d,a
p,10.47,x,h,r,f,,c,w,12.15,18.32,w,t,g,d,u
e,17.65,f,e,n,f,a,c,w,8.74,25.14,w,f,f,d,a
e,10.83,f,,g,f,s,c,b,6.95,19.43,b,f,f,d,w
e,3.39,b,y,n,f,,c,n,7.22,3.37,w,f,f,d,a
p,3.33,f,y,e,f,e,c,n,4.22,3.7,w,t,e,m,u
p,2.35,x,i,k,f,a,,p,4.92,2.78,w,f,f,g,u
e,7.42,f,s,w,f,s,c,w,5.73,21.19,w,f,f,m,s
e,7.76,f,s,k,f,a,c,w,4.52,15.45,w,f,f,d,a
p,17.85,x,d,k,f,p,,y,5.47,40.51,n,f,f,d,w
p,7.65,o,k,n,f,,c,o,1.61,16.17,y,f,f,d,w
p,8.69,o,,e,f,f,f,f,3.54,25.76,n,f,f,d,s
p,5.69,x,,w,f,,c,w,3.35,11.44,y,f,f,d,a
p,0.77,x,g,o,f,,,y,3.58,0.79,w,f,f,d,a
e,9.0,o,,n,f,,,w,3.67,23.76,n,f,f,d,a
e,2.86,x,d,e,f,a,c,e,4.75,6.67,o,f,f,g,w
p,2.11,x,i,k,f,a,,p,4.87,2.74,w,f,f,g,u
p,2.59,c,,u,f,a,c,w,4.06,3.77,w,f,f,d,a
e,3.59,b,g,n,f,x,d,w,3.83,2.8,y,f,f,g,a
p,5.44,f,t,n,f,x,,w,11.27,6.74,n,f,f,d,a
e,2.87,b,y,n,f,,c,n,6.37,3.32,w,f,f,d,s
p,1.7,o,k,n,f,,,n,4.3,1.77,n,f,f,d,s
p,7.28,b,k,n,f,d,c,y,5.96,6.91,n,t,,d,u
p,7.86,f,,y,f,x,c,n,6.53,12.73,w,f,f,d,a
e,3.86,s,,n,f,f,f,f,7.14,7.4,y,f,f,d,a
e,6.24,s,,n,f,d,c,w,5.19,7.74,w,f,f,d,u
e,6.96,f,,y,f,a,c,w,5.55,14.24,w,f,f,d,u
p,2.58,x,s,w,f,d,c,w,2.98,5.94,w,f,f,g,a
e,3.83,x,,y,f,a,c,o,3.53,9.62,w,f,f,d,u
p,7.32,x,h,r,f,,c,w,10.62,14.64,w,t,p,d,u
e,7.1,x,,y,f,e,,w,6.51,13.33,y,t,g,d,a
p,20.47,f,d,n,f,d,c,y,6.54,35.89,k,f,f,d,a
e,12.53,f,,w,f,d,c,w,2.57,14.46,w,f,f,d,a
p,13.26,x,,n,f,e,,w,10.84,16.54,w,t,e,d,a
e,6.02,c,h,n,f,e,,w,12.55,12.41,n,f,f,d,u
e,10.88,x,s,e,f,d,d,w,11.47,16.03,n,t,,d,a
p,7.22,x,y,y,f,a,c,y,11.84,12.17,n,t,,d,u
e,8.59,x,t,n,f,p,d,y,6.4,12.4,n,f,f,d,a
e,8.23,f,h,o,f,s,,y,8.65,12.85,n,f,f,d,a
p,8.25,s,,o,t,d,,o,4.92,12.21,w,t,f,d,u
p,5.67,x,,w,f,,c,w,4.07,14.07,y,f,f,d,a
p,8.65,f,,r,f,x,c,n,6.63,12.72,w,f,f,d,u
e,4.28,x,,r,f,a,,r,6.87,8.01,w,f,f,d,a
e,11.07,x,i,n,t,e,,p,9.15,17.64,w,t,p,l,a
e,6.32,x,t,g,f,a,d,n,6.89,6.52,g,t,l,d,w
p,3.98,f,t,n,f,x,c,p,6.32,4.8,g,f,f,d,a
p,3.7,s,,u,f,a,,w,4.59,7.72,w,f,f,d,a
e,7.43,f,g,o,f,s,,n,8.95,13.08,o,f,f,d,a
e,12.69,x,,n,t,,,w,12.15,21.94,w,t,g,d,u
e,5.94,x,h,n,f,x,c,n,6.02,6.08,n,t,r,d,w
e,11.14,p,i,n,t,e,,p,9.37,17.02,w,t,p,d,a
p,1.1,b,t,y,f,,c,g,3.81,2.64,n,t,f,g,a
e,15.26,x,e,n,t,e,,w,10.99,18.1,w,t,,d,a
p,5.23,o,s,n,f,f,f,f,0.0,0.0,f,t,f,d,a
e,9.51,x,e,l,f,x,c,w,5.68,14.6,w,f,f,d,u
e,12.52,f,s,r,f,x,,n,7.03,23.07,w,f,f,d,u
e,11.23,s,,w,t,d,c,y,6.03,24.54,w,f,f,d,u
e,20.93,x,d,n,f,p,,n,14.98,33.41,w,f,f,d,u
p,3.41,x,t,o,f,a,c,y,5.75,5.97,o,f,f,g,a
p,14.09,x,k,n,t,p,,o,8.91,29.23,y,f,f,d,a
e,2.12,x,,b,f,,d,u,5.41,4.02,w,f,f,d,u
e,6.97,o,,n,f,,,w,3.31,21.21,n,f,f,d,a
e,4.58,c,,n,f,f,f,f,5.2,21.0,n,f,f,d,s
p,1.43,b,,n,f,a,,g,4.47,1.66,n,f,f,d,u
e,4.39,x,t,n,f,d,,o,6.78,8.63,w,f,f,d,w
p,8.9,s,t,p,t,d,c,p,7.81,15.65,p,t,f,d,u
p,1.19,f,s,y,f,f,f,f,3.71,5.75,y,f,f,d,u
p,3.29,x,t,o,f,a,c,n,3.73,5.37,o,t,z,d,w
p,5.99,c,i,y,f,,c,r,7.47,8.89,w,f,f,d,u
p,3.17,x,y,n,f,a,,w,6.12,3.59,y,t,r,g,a
e,4.77,x,t,o,f,a,d,w,6.96,6.03,o,f,f,d,a
p,2.48,x,g,n,f,a,,p,7.25,2.66,n,f,f,d,a
p,1.95,b,g,o,f,,c,n,5.49,2.84,n,f,f,d,u
e,7.79,s,,g,f,s,c,b,5.79,16.58,b,f,f,l,a
p,2.1,f,h,n,f,,,n,7.22,3.04,y,f,f,g,u
p,1.61,x,,n,f,,,n,5.45,2.65,n,f,f,g,u
p,7.62,x,s,g,f,s,,p,7.49,17.43,n,f,f,d,u
p,6.14,f,t,n,f,x,c,y,4.29,12.51,y,f,f,d,a
e,6.42,f,s,n,f,x,c,w,7.06,9.78,n,f,f,l,a
p,11.29,f,,w,f,x,c,w,11.34,13.91,w,f,f,h,u
e,5.06,p,,n,f,f,f,f,5.36,15.73,n,f,f,l,s
e,10.5,s,,w,t,d,c,w,5.44,22.93,w,f,f,d,u
p,3.14,x,s,o,f,a,,y,3.04,6.04,o,f,f,h,a
e,2.25,s,y,n,f,a,d,p,7.24,3.69,n,f,f,l,u
p,3.54,x,y,n,f,a,,w,5.73,3.58,n,t,r,g,a
p,3.14,s,d,w,f,d,d,w,3.54,2.54,w,f,f,g,u
p,5.96,b,d,n,f,d,c,y,6.21,6.63,y,t,,d,a
p,15.6,f,g,e,f,e,,w,18.06,18.83,w,t,p,d,u
p,5.86,x,d,e,t,d,c,n,8.28,10.29,n,f,f,d,a
e,4.02,f,y,n,f,s,,y,4.44,7.14,w,f,f,d,u
p,2.92,b,w,r,f,a,,y,5.19,5.88,r,f,f,m,a
p,3.8,x,y,n,f,a,,w,6.12,3.66,y,t,r,d,u
e,4.12,x,,n,f,x,c,g,6.51,3.84,w,f,f,d,u
p,3.37,x,y,n,f,a,,w,5.77,3.58,y,t,r,d,u
e,9.46,x,s,n,f,e,c,p,8.24,9.65,n,f,f,d,a
e,3.29,s,,n,f,f,f,f,6.55,6.31,o,f,f,d,a
p,2.55,f,,u,f,a,c,n,3.81,3.44,u,f,f,p,u
e,9.25,p,s,w,t,e,,n,6.22,16.32,w,t,r,m,u
p,6.21,x,y,y,f,a,c,y,11.07,10.29,n,t,,d,a
p,1.85,b,h,n,f,a,,n,4.76,1.74,n,f,f,h,a
p,13.57,x,i,y,f,a,,o,14.92,23.48,y,t,r,d,w
p,3.65,f,k,n,f,s,,p,3.94,2.56,n,f,f,g,a
p,0.93,x,g,w,f,a,d,w,2.93,1.28,e,f,f,d,u
e,15.59,x,e,n,t,e,,w,10.32,18.17,w,t,,d,u
p,1.05,b,t,n,f,,c,k,3.63,2.7,n,t,f,m,u
e,17.58,s,s,k,f,a,d,k,6.44,21.49,w,f,f,d,u
p,6.04,x,,w,f,,c,r,4.03,13.01,y,f,f,d,a
p,13.42,x,s,y,f,s,,p,8.61,18.22,n,f,f,d,u
p,2.81,s,w,o,t,d,c,y,3.5,5.65,n,f,f,d,u
p,8.01,x,i,n,f,a,c,n,7.65,8.13,n,t,z,d,a
p,1.36,c,t,n,f,,,y,6.9,2.79,y,f,f,g,a
e,7.72,x,,g,f,s,c,g,6.62,17.99,u,f,f,g,a
p,1.6,x,k,n,f,,,n,4.89,1.55,n,f,f,d,u
p,3.89,x,i,e,f,,,e,5.25,5.89,e,f,f,d,a
p,16.18,x,k,n,t,p,,e,9.39,32.03,y,f,f,d,u
p,3.1,o,,g,f,f,f,f,2.81,14.01,n,f,f,d,a
e,5.04,s,,n,f,d,c,w,4.8,6.84,w,f,f,d,a
e,1.22,x,g,e,t,a,,p,5.56,1.01,n,f,f,d,a
p,8.27,f,,w,f,x,c,w,9.78,11.69,w,f,f,d,a
e,3.26,x,s,w,f,d,d,w,3.1,5.69,w,f,f,m,a
p,12.72,x,e,n,t,p,,o,10.52,33.42,u,f,f,d,a
p,5.62,x,,e,f,,c,r,3.23,13.02,y,f,f,d,a
p,23.39,f,s,o,f,p,,y,5.64,43.28,n,f,f,d,a
e,6.86,f,,g,f,s,c,g,7.31,19.49,u,f,f,g,w
p,5.71,x,s,n,f,s,,g,5.74,8.05,n,f,f,d,a
p,9.71,x,t,n,f,a,d,w,11.0,32.36,w,f,f,d,u
p,10.15,x,i,n,f,a,,n,13.35,17.35,n,f,f,d,a
e,6.51,x,h,y,t,x,c,y,6.39,12.25,w,f,f,d,a
p,8.46,f,w,n,f,x,,w,16.53,8.64,n,f,f,d,u
e,6.61,f,g,o,f,s,,y,8.06,10.91,o,f,f,d,a
p,4.63,b,i,k,f,e,,y,7.48,7.75,y,f,f,g,u
e,6.71,x,h,n,f,e,,w,14.12,14.02,n,f,f,d,u
p,7.46,x,t,n,f,s,,g,5.14,7.85,n,f,f,d,w
p,4.04,b,y,n,f,,c,u,6.99,4.59,w,f,f,d,a
p,7.45,x,i,n,f,a,c,n,7.33,7.8,n,t,z,d,u
e,3.03,f,y,n,f,a,d,p,5.82,3.84,n,f,f,h,u
p,13.97,x,e,n,t,p,,o,8.42,29.01,y,f,f,d,u
p,2.88,b,h,r,f,s,c,n,5.31,6.86,l,t,e,g,a
e,2.61,f,y,n,f,a,d,p,7.28,3.58,n,f,f,l,u
e,9.63,f,y,w,f,e,c,k,14.87,11.65,w,t,e,d,a
p,1.81,x,i,k,f,a,,p,4.07,2.52,w,f,f,g,u
e,8.51,f,,y,f,a,c,w,6.18,16.74,w,f,f,d,u
e,7.83,x,d,n,t,p,,y,5.49,12.03,e,f,f,d,u
e,4.17,x,y,n,f,s,,y,3.89,5.85,w,f,f,d,a
e,6.88,x,t,n,f,a,d,n,6.35,5.32,w,t,l,d,u
e,9.31,x,e,y,f,x,c,w,6.93,15.25,w,f,f,d,a
e,2.28,x,,b,f,,d,u,5.61,3.91,w,f,f,d,w
p,5.38,p,y,g,f,,,k,8.86,11.65,w,t,z,d,s
e,7.69,x,d,y,t,p,,y,5.45,12.27,e,f,f,d,u
p,16.86,x,h,n,t,p,,o,10.28,29.39,y,f,f,d,a
e,7.53,f,,g,f,s,c,g,6.07,18.37,u,f,f,g,w
e,15.64,x,y,n,t,e,,w,9.7,16.33,w,t,,g,a
e,6.68,c,t,n,f,e,,w,12.95,12.01,n,f,f,d,u
p,11.27,f,,g,f,e,,w,10.59,15.02,w,t,e,d,a
e,8.62,f,s,k,f,a,c,w,4.57,14.14,w,f,f,d,u
e,6.84,x,y,n,f,e,c,p,6.73,10.83,n,f,f,d,a
p,7.46,b,t,w,f,e,c,w,13.66,13.98,w,t,l,d,u
p,3.88,f,,u,f,a,,w,3.95,6.87,w,f,f,d,u
p,17.54,x,k,w,t,d,d,n,6.26,30.04,w,f,f,d,w
e,8.87,f,e,b,f,,c,b,4.92,20.64,w,t,f,d,a
p,0.66,f,,o,f,d,,o,4.49,1.08,o,f,f,g,a
p,8.37,x,e,n,f,a,,n,8.96,12.8,n,f,f,h,a
p,5.78,o,k,o,f,,c,y,1.72,15.59,y,f,f,d,a
p,4.74,f,,y,f,s,d,y,5.96,12.99,y,f,f,d,a
p,3.84,x,t,y,f,a,c,y,5.65,6.36,o,f,f,g,a
e,9.73,x,h,n,t,p,,y,8.7,17.76,n,t,p,d,u
p,1.51,f,i,k,f,a,,p,2.63,2.18,w,f,f,g,a
p,8.72,f,y,e,f,s,c,y,7.31,18.52,e,f,f,d,a
p,5.12,f,k,y,f,p,,n,3.06,5.33,n,t,f,d,u
p,2.06,b,,n,f,a,,g,5.12,2.12,n,f,f,d,u
e,5.12,x,t,n,f,e,,w,12.53,12.84,w,f,f,d,a
p,8.72,o,,e,f,f,f,f,3.71,27.21,n,f,f,d,u
p,3.0,o,,g,f,f,f,f,3.38,14.86,n,f,f,d,u
p,0.8,x,g,e,f,a,,n,4.3,1.08,k,f,f,d,a
e,4.73,f,y,g,f,s,,g,4.74,9.0,w,f,f,d,a
p,2.75,o,l,g,f,f,f,f,0.0,0.0,f,f,f,d,u
p,7.8,f,,w,f,x,c,w,9.44,9.83,w,f,f,d,u
p,10.04,s,t,p,t,d,c,p,7.95,16.68,p,t,f,d,u
e,5.05,x,h,n,f,x,c,n,5.48,5.93,n,t,r,d,s
p,5.89,s,,n,t,d,c,w,6.92,6.51,n,f,f,d,a
p,7.88,f,d,n,t,d,c,y,6.52,9.67,e,f,f,d,a
e,5.65,s,,n,f,d,c,w,5.55,8.13,w,f,f,h,a
e,14.58,x,s,k,f,a,d,y,6.37,21.0,w,f,f,d,a
